subH_file,sub_file,cat_file,catH_file,ts_file,DH,DG,subH_HOMO,subH_LUMO,subH_CP,subH_Hard,subH_Soft,subH_Ephil,subH_Q,subH_FukP,subH_FukM,subH_FukD,subH_BO,subH_BOH,subH_BOX,subH_BV3,subH_BV4,subH_BV5,sub_SOMO,sub_IE,sub_EA,sub_Eneg,sub_Soft,sub_Q,sub_Fuk0,sub_BO,sub_BV3,sub_BV4,sub_BV5,cat_SOMO,cat_IE,cat_EA,cat_Eneg,cat_Soft,cat_Q,cat_Fuk0,cat_BO,cat_BV3,cat_BV4,cat_BV5,catH_HOMO,catH_LUMO,catH_CP,catH_Hard,catH_Soft,catH_Ephil,catH_Q,catH_FukP,catH_FukM,catH_FukD,catH_BO,catH_BOH,catH_BOX,catH_BV3,catH_BV4,catH_BV5,DHdd,DGdd
PRE-A1a,POST-A1a-H1,PRE-N1,POST-N1,,-3.376107745,-4.928566172,-0.402704,0.076043,-0.1633305,0.2393735,4.17757187,0.055722234,-0.59831,0.05099,0.20685,-0.15586,0.96965,0.9443,1.0457,0.362578218,0.162486034,0.083145438,-0.25685,0.313200057,-0.029509324,0.141845367,2.917924204,-0.27915,0.74738,1.002066667,0.324046484,0.144745826,0.074085097,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,19.9
PRE-A1b,POST-A1b-H1,PRE-N1,POST-N1,,-6.056194287,-5.711064079,-0.397315,0.053875,-0.17172,0.225595,4.432722356,0.065355523,-0.71234,-0.05897,0.339,-0.39797,0.950075,0.9081,1.076,0.331952101,0.163735181,0.084339819,-0.322323,0.380096647,0.055878658,0.217987652,3.084344589,-0.33351,0.60782,1.043,0.295757598,0.146856185,0.07535043,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,25.8
PRE-A1c,POST-A1c-H1,PRE-N1,POST-N1,,-11.65281426,-11.32901937,-0.30446,0.06378,-0.12034,0.18412,5.431240495,0.03932684,-0.4032,-0.10564,0.12256,-0.2282,0.9658,0.9436,1.0324,0.331123361,0.142592794,0.072951815,-0.205414,0.261407092,-0.0667562,0.097325446,3.047263436,-0.26873,0.59917,1.0167,0.284983984,0.12277714,0.062825203,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,10.8
PRE-A1d,POST-A1d-H1,PRE-N1,POST-N1,,-3.638471839,-2.810786849,-0.388597,-0.032071,-0.210334,0.178263,5.609689055,0.12408742,-0.47571,0.01185,0.00666,0.00519,0.922075,0.9284,0.9031,0.368537694,0.185513779,0.094892151,-0.360251,0.402321583,0.08541153,0.243866557,3.15546948,-0.04873,0.50887,0.972033333,0.332939139,0.1670171,0.085496752,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,28.1
PRE-A1e,POST-A1e-H1,PRE-N1,POST-N1,,-8.979555707,-9.100665035,-0.275109,0.064296,-0.1054065,0.1697025,5.892665105,0.032735317,-0.73548,-0.06474,0.13387,-0.19861,0.957225,0.933766667,1.0276,0.390625,0.218507541,0.119156208,-0.222152,0.268633422,-0.017241486,0.125695968,3.498033483,-0.63455,0.51524,1.029133333,0.353406213,0.200332847,0.109112374,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,15
PRE-A1f,POST-A1f-H1,PRE-N1,POST-N1,,-7.468020939,-7.830093902,-0.332736,0.075969,-0.1283835,0.2043525,4.893505095,0.040328166,-0.2512,-0.08096,0.15824,-0.2392,0.94865,0.944933333,0.9598,0.363546633,0.191057352,0.099740626,-0.234057,0.284911312,-0.042063669,0.121423822,3.058337971,-0.09281,0.63068,0.978366667,0.317705229,0.172064118,0.089787455,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,16.5
PRE-A1h,POST-A1h-H1,PRE-N1,POST-N1,,-7.827048599,-7.481290881,-0.354188,0.061067,-0.1465605,0.2076275,4.816317684,0.051727204,-0.2475,-0.0917,0.16605,-0.25775,0.954475,0.9485,0.9724,0.306251862,0.129748309,0.066445792,-0.239753,0.300756034,-0.053571525,0.123592254,2.822247309,-0.08774,0.663005,0.982266667,0.261006406,0.110471883,0.056543865,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,18
PRE-A1i,POST-A1i-H1,PRE-N1,POST-N1,,1.312522086,0.798591831,-0.455237,0.086724,-0.1842565,0.2709805,3.690302439,0.062643729,-0.83584,0.33751,0.40278,-0.06527,0.956,0.956,0.956,0.225081943,0.094888585,0.048492637,-0.287128,0.357825751,-0.019048102,0.169388825,2.653407745,-0.48694,0.906855,0.9718,0.180069279,0.075996214,0.038898174,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,23.4
PRE-A1j,POST-A1j-H1,PRE-N1,POST-N1,,-2.783472617,-3.047654104,-0.36114,0.057595,-0.1517725,0.2093675,4.776290494,0.055010667,-0.55872,-0.05129,0.26992,-0.32121,0.9601,0.9379,1.0267,0.334745605,0.151150611,0.077449465,-0.273933,0.330523957,-0.005696161,0.162413898,2.974242011,-0.37885,0.63211,1.0017,0.295832092,0.132339706,0.067653969,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,23.1
PRE-A1k,POST-A1k-H1,PRE-N1,POST-N1,,2.086772071,1.500050718,-0.467181,0.072276,-0.1974525,0.2697285,3.707431732,0.072271728,-0.68757,0.18322,0.32798,-0.14476,0.947725,0.9297,1.0018,0.411343489,0.215431227,0.110285075,-0.33883,0.399096269,0.033965059,0.216530664,2.738741506,-0.30446,0.77195,0.973666667,0.375065182,0.198668612,0.101674104,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,28.4
PRE-A1l,POST-A1l-H1,PRE-N1,POST-N1,,-8.047067851,-7.737078174,-0.32637,0.024131,-0.1511195,0.1752505,5.706117814,0.065155601,-0.71151,0.04532,-0.04057,0.08589,0.9461,0.927433333,1.0021,0.398288513,0.22723605,0.12043928,-0.318767,0.3698213,0.050936255,0.210378777,3.135926302,-0.2512,0.57647,1.029066667,0.364533671,0.211016541,0.111585885,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,24.9
PRE-A1m,POST-A1m-H1,PRE-N1,POST-N1,,-2.124340436,-2.640780729,-0.375881,0.05878,-0.1585505,0.2173305,4.60128698,0.057834177,-0.59534,0.03759,0.06696,-0.02937,0.957075,0.9426,1.0005,0.49528829,0.330507883,0.179760178,-0.25834,0.30004663,-0.014708791,0.14266892,3.177069983,-0.25919,0.726075,0.980266667,0.460183254,0.3144901,0.170762906,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,22.2
PRE-A1n,POST-A1n-H1,PRE-N1,POST-N1,,-11.97777461,-12.09762892,-0.276355,0.067379,-0.104488,0.171867,5.818452641,0.031762183,-0.406,-0.07218,0.09058,-0.16276,0.955425,0.9395,1.0032,0.436820247,0.261641891,0.138841806,-0.19247,0.233553702,-0.047313148,0.093120277,3.560405936,-0.29981,0.53385,1.0118,0.38585742,0.24262538,0.128770379,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,7.7
PRE-B1a,POST-B1a-H1,PRE-N1,POST-N1,,-6.494962085,-7.436853798,-0.378837,0.070296,-0.1542705,0.2245665,4.453023937,0.05298962,-0.39047,0.11866,0.10693,0.01173,0.977675,0.9289,1.02645,0.537302592,0.283587301,0.149098499,-0.236377,0.27961909,-0.028316431,0.125651329,3.247433088,-0.07302,0.624765,1.026833333,0.506806838,0.268597542,0.14113202,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,18.8
PRE-B1a,POST-B1a-H3,PRE-N1,POST-N1,,-2.813008233,-3.609317749,-0.378837,0.070296,-0.1542705,0.2245665,4.453023937,0.05298962,-0.59569,0.03498,0.07283,-0.03785,0.9658,0.9434,1.033,0.404639079,0.225463193,0.13782875,-0.256637,0.302629402,-0.01853805,0.142045676,3.113640544,-0.26661,0.715255,0.995633333,0.366917461,0.209654894,0.1297519,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,21.5
PRE-B1b,POST-B1b-H1,PRE-N1,POST-N1,,-10.68792514,-11.17549999,-0.387631,0.045231,-0.1712,0.216431,4.6204102,0.067710818,-0.50832,0.00628,0.12854,-0.12226,0.9626,0.8963,1.0289,0.508361889,0.285744212,0.150476175,-0.293806,0.337851771,0.047197379,0.192524575,3.440512263,-0.14154,0.521345,1.068366667,0.478797303,0.270987214,0.142501813,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,23.8
PRE-B1b,POST-B1b-H2,PRE-N1,POST-N1,,-4.941274368,-6.06137877,-0.387631,0.045231,-0.1712,0.216431,4.6204102,0.067710818,-0.37593,0.04931,0.1128,-0.06349,0.969825,0.9254,1.01425,0.525960965,0.273318695,0.150137176,-0.270734,0.313639986,0.00142852,0.157534253,3.202957319,-0.05601,0.62484,1.015866667,0.495064809,0.257964279,0.142060326,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,21.4
PRE-B1b,POST-B1b-H3,PRE-N1,POST-N1,,-2.452554871,-2.872358706,-0.387631,0.045231,-0.1712,0.216431,4.6204102,0.067710818,-0.60113,0.00867,0.09301,-0.08434,0.96345,0.9408,1.0314,0.405793728,0.22454379,0.132526962,-0.28367,0.332449686,0.004966966,0.168708326,3.053596232,-0.27018,0.72886,0.993833333,0.368556317,0.208475576,0.124215572,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,23.4
PRE-B1c,POST-B1c-H1,PRE-N1,POST-N1,,-12.73342779,-12.72778021,-0.301681,0.06273,-0.1194755,0.1822055,5.488308531,0.039171142,-0.20994,-0.07604,0.06223,-0.13827,0.972875,0.9287,1.01705,0.507598331,0.264566911,0.139385781,-0.196489,0.24039027,-0.058205639,0.091092315,3.349007705,-0.03534,0.49678,1.036166667,0.469550805,0.247257309,0.130019946,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,11.2
PRE-B1c,POST-B1c-H2,PRE-N1,POST-N1,,-5.890191677,-6.771214972,-0.301681,0.06273,-0.1194755,0.1822055,5.488308531,0.039171142,-0.40961,0.03558,0.1201,-0.08452,0.974375,0.9306,1.01815,0.529601833,0.272376016,0.139624263,-0.243075,0.286919708,-0.022395707,0.132262001,3.232945891,-0.0942,0.615445,1.022133333,0.499683403,0.25690522,0.131549383,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,18.9
PRE-B1c,POST-B1c-H3,PRE-N1,POST-N1,,-2.957552529,-3.354138513,-0.301681,0.06273,-0.1194755,0.1822055,5.488308531,0.039171142,-0.60143,0.00405,0.03193,-0.02788,0.964575,0.942633333,1.0304,0.404769443,0.223969648,0.133997272,-0.255416,0.299880918,-0.014189958,0.14284548,3.183994685,-0.27257,0.666065,0.996333333,0.367085072,0.207858761,0.125567626,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,21.6
PRE-B1d,POST-B1d-H1,PRE-N1,POST-N1,,-10.3053803,-9.79019503,-0.382121,-0.027029,-0.204575,0.177546,5.632343167,0.117859402,-0.27218,0.01444,0.00644,0.008,0.932725,0.91895,0.9465,0.547582688,0.308065918,0.16133203,-0.32153,0.358925538,0.075896259,0.217410898,3.533203362,0.13514,0.436675,1.0152,0.518614049,0.291411924,0.152533821,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,25.7
PRE-B1d,POST-B1d-H2,PRE-N1,POST-N1,,-6.264125825,-6.419748173,-0.382121,-0.027029,-0.204575,0.177546,5.632343167,0.117859402,-0.40661,-0.00113,-0.0005,-0.00063,0.9692,0.9211,1.0173,0.539695694,0.2964667,0.161678913,-0.28505,0.326474143,0.02843846,0.177456302,3.355302929,-0.05384,0.546725,1.029266667,0.511341627,0.282314878,0.153950916,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,22.6
PRE-B1d,POST-B1d-H3,PRE-N1,POST-N1,,-2.155713399,-2.725491997,-0.382121,-0.027029,-0.204575,0.177546,5.632343167,0.117859402,-0.59871,-0.00099,-0.00066,-0.00033,0.961675,0.940033333,1.0266,0.40480669,0.227775278,0.14226136,-0.291491,0.338255404,0.018764598,0.178510001,3.129980523,-0.25681,0.67668,0.991133333,0.368137291,0.212199739,0.134488033,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,23
PRE-B1e,POST-B1e-H1,PRE-N1,POST-N1,,-10.81833917,-11.13899651,-0.273089,0.057103,-0.107993,0.165096,6.05708194,0.035320323,-0.5101,-0.05882,0.09489,-0.15371,0.968925,0.9204,1.01745,0.566280542,0.340373037,0.185495569,-0.213075,0.250342303,-0.016510016,0.116916143,3.74739108,-0.37324,0.457505,1.049133333,0.53690219,0.324568618,0.176338652,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,13.8
PRE-B1e,POST-B1e-H2,PRE-N1,POST-N1,,-7.174242968,-7.948589653,-0.273089,0.057103,-0.107993,0.165096,6.05708194,0.035320323,-0.4058,-0.01556,0.10539,-0.12095,0.975425,0.9239,1.02695,0.532907479,0.286849823,0.170721516,-0.246184,0.28294177,-0.001905356,0.140518207,3.510655045,-0.07182,0.568845,1.036866667,0.502951803,0.272527311,0.163582826,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,20.3
PRE-B1e,POST-B1e-H3,PRE-N1,POST-N1,,-2.607571673,-3.336110167,-0.273089,0.057103,-0.107993,0.165096,6.05708194,0.035320323,-0.59466,-0.00679,0.08996,-0.09675,0.9635,0.942366667,1.0269,0.404937053,0.225090776,0.140097285,-0.26636,0.309186957,-0.004131369,0.152527794,3.191642228,-0.26085,0.69769,0.992033333,0.368453889,0.209317392,0.132030289,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,21.9
PRE-B1f,POST-B1f-H1,PRE-N1,POST-N1,,-9.39088942,-9.640010679,-0.330108,0.07053,-0.129789,0.200319,4.9920377,0.042045898,-0.05494,-0.08958,0.11317,-0.20275,0.955475,0.9307,0.98025,0.540570992,0.313310781,0.165949907,-0.221011,0.260455997,-0.039351435,0.110552281,3.335474352,0.12744,0.533725,0.997833333,0.5025514,0.296323164,0.156907303,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,16.2
PRE-B1f,POST-B1f-H2,PRE-N1,POST-N1,,-5.477479327,-6.468944288,-0.330108,0.07053,-0.129789,0.200319,4.9920377,0.042045898,-0.40921,-0.02373,0.06936,-0.09309,0.97465,0.9254,1.0239,0.519182062,0.27042083,0.160803822,-0.242283,0.285279976,-0.024988888,0.130145544,3.223011124,-0.0894,0.62467,1.023066667,0.488127607,0.256078921,0.153416795,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,19.1
PRE-B1f,POST-B1f-H3,PRE-N1,POST-N1,,-2.901567389,-3.289995751,-0.330108,0.07053,-0.129789,0.200319,4.9920377,0.042045898,-0.59984,-0.00866,0.12289,-0.13155,0.964725,0.942733333,1.0307,0.404722884,0.222588604,0.134352039,-0.261956,0.310550556,-0.017270383,0.146640086,3.05044578,-0.27451,0.7371,0.995566667,0.367662396,0.206314785,0.126011084,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,22.2
PRE-B1h,POST-B1h-H1,PRE-N1,POST-N1,,-9.544862673,-9.487131802,-0.34654,0.061279,-0.1426305,0.2039095,4.904136394,0.04988355,-0.05765,-0.04854,0.05575,-0.10429,0.96025,0.93375,0.98675,0.48465435,0.252292688,0.132919176,-0.225641,0.272014083,-0.048064871,0.111974606,3.124229155,0.13079,0.541925,1.001333333,0.446448525,0.234835671,0.123711015,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,16
PRE-B1h,POST-B1h-H2,PRE-N1,POST-N1,,-5.760145987,-6.321139452,-0.34654,0.061279,-0.1426305,0.2039095,4.904136394,0.04988355,-0.42087,0.04305,0.13109,-0.08804,0.9746,0.92845,1.02075,0.525011174,0.26012507,0.133141891,-0.253315,0.29887265,-0.011735256,0.143568697,3.219493067,-0.10416,0.605585,1.0243,0.496182211,0.244495221,0.125143878,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,18.3
PRE-B1h,POST-B1h-H3,PRE-N1,POST-N1,,-2.730688403,-3.321802323,-0.34654,0.061279,-0.1426305,0.2039095,4.904136394,0.04988355,-0.60162,0.00237,0.06568,-0.06331,0.96415,0.942233333,1.0299,0.404788066,0.22343042,0.129720365,-0.265644,0.312804156,-0.010277041,0.151263558,3.095197149,-0.26974,0.708385,0.9948,0.367140942,0.207032462,0.121133045,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,21.6
PRE-B1j,POST-B1j-H1,PRE-N1,POST-N1,,-5.525307471,-5.859142508,-0.355175,0.051131,-0.152022,0.203153,4.922398389,0.056880008,-0.33956,-0.02422,0.09337,-0.11759,0.969625,0.9244,1.01485,0.514209625,0.274307926,0.143873577,-0.2568,0.299721435,-0.007051389,0.146335023,3.259741156,-0.14279,0.540225,1.025466667,0.481302145,0.25708367,0.134968938,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,22.3
PRE-B1j,POST-B1j-H2,PRE-N1,POST-N1,,-8.020400582,-8.592689217,-0.355175,0.051131,-0.152022,0.203153,4.922398389,0.056880008,-0.41775,0.01704,0.08834,-0.0713,0.973975,0.9237,1.02425,0.527320471,0.274044131,0.144330832,-0.268863,0.311118401,0.021687136,0.166402769,3.455051755,-0.05678,0.5239,1.050933333,0.499394741,0.259644032,0.137101479,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,20.5
PRE-B1j,POST-B1j-H3,PRE-N1,POST-N1,,-2.593339758,-3.104132466,-0.355175,0.051131,-0.152022,0.203153,4.922398389,0.056880008,-0.60042,0.0129,0.12051,-0.10761,0.961375,0.9412,1.0219,0.404909118,0.224342064,0.133455268,-0.278159,0.324112588,0.006959224,0.165535906,3.153048694,-0.25924,0.68977,0.990233333,0.368556317,0.208021693,0.125037448,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,22.6
PRE-B1k,POST-B1k-H1,PRE-N1,POST-N1,,-2.655185209,-4.080886722,-0.412792,0.059989,-0.1764015,0.2363905,4.230288442,0.065817977,-0.4797,-0.02333,0.0752,-0.09853,0.959,0.9177,1.0003,0.587753278,0.337451896,0.176600785,-0.302608,0.346758241,0.026439104,0.186598672,3.121886533,-0.12244,0.64506,1.0043,0.559129172,0.32274145,0.168784097,-0.321948,0.3491072,0.12672797,0.237917585,4.496822837,-0.3265,0.2714,1.2441,0.553206943,0.386649649,0.242084766,-0.332764,-0.040269,-0.1865165,0.1462475,6.837723722,0.11893675,-0.62386,0.20203,-0.0253,0.22733,0.976233333,0.7989,1.0649,0.588749628,0.401988548,0.249731954,,25.9
