subH_file,sub_file,cat_file,catH_file,ts_file,DH,DG,subH_HOMO,subH_LUMO,subH_CP,subH_Hard,subH_Soft,subH_Ephil,subH_Q,subH_FukP,subH_FukM,subH_FukD,subH_BO,subH_BOH,subH_BOX,subH_BV3,subH_BV4,subH_BV5,sub_SOMO,sub_IE,sub_EA,sub_Eneg,sub_Soft,sub_Q,sub_Fuk0,sub_BO,sub_BV3,sub_BV4,sub_BV5,cat_SOMO,cat_IE,cat_EA,cat_Eneg,cat_Soft,cat_Q,cat_Fuk0,cat_BO,cat_BV3,cat_BV4,cat_BV5,catH_HOMO,catH_LUMO,catH_CP,catH_Hard,catH_Soft,catH_Ephil,catH_Q,catH_FukP,catH_FukM,catH_FukD,catH_BO,catH_BOH,catH_BOX,catH_BV3,catH_BV4,catH_BV5,DHdd,DGdd
PRE-C1e,POST-C1e-H1,PRE-S6,POST-S6,,-4.737203896,-4.337480364,-0.277548,0.028592,-0.124478,0.15307,6.532958777,0.050613355,-0.5474,-0.04674,-0.0302,-0.01654,0.966175,0.91355,1.0188,0.536632151,0.319234529,0.174570733,-0.215841,0.25362458,0.013252017,0.133438298,4.160208584,-0.372,0.29288,1.150933333,0.511369562,0.304578394,0.165725222,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,15.5
PRE-C1f,POST-C1f-H1,PRE-S6,POST-S6,,-5.985423769,-5.933340483,-0.323041,0.036182,-0.1434295,0.1796115,5.567572232,0.057268108,-0.10583,-0.07388,0.00575,-0.07963,0.95435,0.92195,0.98675,0.511453367,0.292273136,0.155105878,-0.212387,0.253503249,-0.008866727,0.122318261,3.811411714,0.13333,0.343455,1.124533333,0.478098927,0.276410527,0.146315553,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,14.6
PRE-C1h,POST-C1h-H1,PRE-S6,POST-S6,,-7.794193458,-7.034279491,-0.324383,0.031328,-0.1465275,0.1778555,5.622541895,0.060358854,-0.10039,-0.07981,0.03824,-0.11805,0.9592,0.92775,0.99065,0.45506183,0.230859351,0.121809073,-0.21923,0.265493505,-0.008476726,0.128508389,3.650031598,0.14618,0.333705,1.132233333,0.421344234,0.215008379,0.113164596,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,15.1
PRE-C1i,POST-C1i-H1,PRE-S6,POST-S6,,2.210360061,2.899365458,-0.315158,0.047927,-0.1336155,0.1815425,5.508352039,0.049170585,-0.64048,-0.07431,-0.0367,-0.03761,0.96195,0.930933333,1.055,0.37477652,0.197054807,0.10460684,-0.247807,0.298162008,0.01127205,0.154717029,3.485657034,-0.32167,0.44497,1.134233333,0.342129768,0.181149525,0.095808631,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,20.2
PRE-C1j,POST-C1j-H1,PRE-S6,POST-S6,,0.208295493,0.81446964,-0.336479,0.011684,-0.1623975,0.1740815,5.744435796,0.075748853,-0.3781,-0.09808,0.03946,-0.13754,0.96745,0.9172,1.0177,0.484579857,0.253332351,0.133145833,-0.2483,0.291765969,0.023711779,0.157738874,3.730588953,-0.18222,0.327805,1.149933333,0.456514452,0.237039135,0.12429638,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,20.7
PRE-C1k,POST-C1k-H1,PRE-S6,POST-S6,,2.757017445,2.960958023,-0.342848,0.021572,-0.160638,0.18221,5.488172987,0.070809964,-0.51943,-0.07576,-0.03143,-0.04433,0.955275,0.90905,1.0015,0.558598406,0.31688753,0.165711425,-0.281796,0.327701902,0.04859957,0.188150736,3.582915244,-0.23143,0.39542,1.138566667,0.532991284,0.302716312,0.157849406,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,22.1
PRE-C1l,POST-C1l-H1,PRE-S6,POST-S6,,-5.094306985,-4.221441313,-0.315572,0.021558,-0.147007,0.168565,5.932429627,0.064103041,-0.54587,0.03106,-0.02984,0.0609,0.952725,0.90165,1.0038,0.545645858,0.328180281,0.17569416,-0.272574,0.313843349,0.058270694,0.186057022,3.912781671,-0.19843,0.35907,1.133966667,0.521184073,0.314191391,0.167522705,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,17.6
PRE-C1m,POST-C1m-H1,PRE-S6,POST-S6,,-0.537251017,-0.147567637,-0.312817,0.041394,-0.1357115,0.1771055,5.646352033,0.051996158,-0.43471,-0.05879,0.00235,-0.06114,0.962375,0.9175,1.00725,0.636872393,0.429849947,0.234971698,-0.230969,0.267983144,0.010248152,0.139115648,3.879954337,-0.09438,0.399355,1.1437,0.614589541,0.417292533,0.226825865,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,18
PRE-C1n,POST-C1n-H1,PRE-S6,POST-S6,,-10.96575684,-10.58172104,-0.272491,0.03677,-0.1178605,0.1546305,6.467029467,0.044917068,-0.25127,-0.05952,-0.01294,-0.04658,0.960975,0.9188,1.00315,0.575154574,0.361814133,0.194331226,-0.185806,0.221581938,-0.017145557,0.10221819,4.188876526,-0.00888,0.27899,1.1595,0.540356824,0.345846782,0.184965391,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,9.5
PRE-D1a,POST-D1a-H1,PRE-S6,POST-S6,,-4.058060438,-4.414485816,-0.31507,0.045595,-0.1347375,0.1803325,5.545312132,0.050335336,-0.26253,-0.04521,-0.03236,-0.01285,0.98545,0.9108,1.010333333,0.638222586,0.32765657,0.17156113,-0.22298,0.262789357,0.005340301,0.134064829,3.884263611,0.08073,0.379115,1.174833333,0.613146231,0.313322419,0.163878465,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,15.1
PRE-D1b,POST-D1b-H1,PRE-S6,POST-S6,,-6.934871951,-6.957462292,-0.346079,0.014628,-0.1657255,0.1803535,5.544666447,0.076141969,-0.35938,-0.0392,-0.01698,-0.02222,0.97345,0.8825,1.003766667,0.608965286,0.329099683,0.172641197,-0.270601,0.310338151,0.0628283,0.186583226,4.040243231,-0.03937,0.353245,1.162566667,0.586114422,0.315642263,0.16497627,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,17.8
PRE-D1c,POST-D1c-H1,PRE-S6,POST-S6,,-12.60988749,-12.61428006,-0.311047,0.041788,-0.1346295,0.1764175,5.668371902,0.05136991,-0.09037,-0.07065,-0.01724,-0.05341,0.9808,0.8965,1.0089,0.608276222,0.308131866,0.161714389,-0.193368,0.233167764,-0.014119377,0.109524194,4.043881926,0.19864,0.27319,1.1854,0.579661427,0.292928744,0.153304453,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,9.9
PRE-D1d,POST-D1d-H1,PRE-S6,POST-S6,,-5.136016284,-4.321508993,-0.348214,-0.026289,-0.1872515,0.1609625,6.212627165,0.108917059,-0.13578,-0.05148,0.01943,-0.07091,0.94315,0.9062,0.955466667,0.648744785,0.352418379,0.183891236,-0.285787,0.324869758,0.079676347,0.202273053,4.078413021,0.18047,0.310825,1.128666667,0.621303263,0.335411365,0.174811185,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,20.1
PRE-D1e,POST-D1e-H1,PRE-S6,POST-S6,,-6.045244247,-5.444090175,-0.276139,0.028276,-0.1239315,0.1522075,6.569978483,0.050454205,-0.35184,-0.03285,-0.03993,0.00708,0.97975,0.9041,1.004966667,0.662386397,0.38219617,0.207964113,-0.215503,0.249916643,0.01473245,0.132324547,4.251986442,-0.13785,0.290185,1.175633333,0.636341627,0.367260722,0.199378764,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,14.2
PRE-D1f,POST-D1f-H1,PRE-S6,POST-S6,,-7.748103515,-7.114318951,-0.32353,0.038862,-0.142334,0.181196,5.518885627,0.055903462,0.05402,-0.04098,-0.01324,-0.02774,0.96335,0.9139,0.979833333,0.638176028,0.356414096,0.188239097,-0.205731,0.243052662,-0.00808533,0.117483666,3.981874634,0.33072,0.318925,1.146033333,0.606367327,0.34181615,0.18008341,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,13
PRE-D1h,POST-D1h-H1,PRE-S6,POST-S6,,-8.012930081,-8.538783016,-0.329417,0.03046,-0.1494785,0.1799385,5.557454352,0.062087385,0.05495,-0.05816,-0.0064,-0.05176,0.968,0.9172,0.984933333,0.587837083,0.295931351,0.155176831,-0.20795,0.249381259,-0.01296008,0.118210589,3.811827765,0.32858,0.315605,1.150933333,0.556996797,0.280860127,0.147113778,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,13.2
PRE-D1j,POST-D1j-H1,PRE-S6,POST-S6,,-2.629644946,-2.238706547,-0.332625,0.014034,-0.1592955,0.1733295,5.769358361,0.073198897,-0.1793,-0.07932,0.03867,-0.11799,0.9802,0.9078,1.004333333,0.616116657,0.318458662,0.16646826,-0.239798,0.278914106,0.022388071,0.150651089,3.898239802,0.03338,0.31145,1.178266667,0.589420069,0.30272795,0.15828498,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,18.7
PRE-D1k,POST-D1k-H1,PRE-S6,POST-S6,,-0.080683285,-0.667404638,-0.339689,0.02359,-0.1580495,0.1816395,5.505410442,0.068761598,-0.33971,-0.05657,-0.03174,-0.02483,0.9686,0.9036,0.990266667,0.686810936,0.381152629,0.198753981,-0.268929,0.309766826,0.045946069,0.177856447,3.790452318,-0.02564,0.387715,1.1531,0.663513111,0.367571069,0.191258554,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,20.4
PRE-D1l,POST-D1l-H1,PRE-S6,POST-S6,,-8.251924593,-7.434279754,-0.312024,0.004932,-0.153546,0.158478,6.310024104,0.074383744,-0.35934,0.0555,-0.0338,0.0893,0.965125,0.9086,0.983966667,0.672806168,0.391917789,0.208868768,-0.264243,0.301484597,0.058297905,0.179891251,4.112067119,0.01672,0.34845,1.1517,0.645969905,0.377184067,0.200417442,-0.298024,0.332125299,0.073470049,0.202797674,3.86615002,0.1212,0.54718,1.0313,0.217045962,0.171831357,0.128342689,-0.29054,0.006837,-0.1418515,0.1486885,6.72546969,0.06766444,-0.04498,0.40162,0.1545,0.24712,0.98705,0.9717,1.0024,0.277152861,0.197186705,0.141033474,,16.2
